1             -1             38     3.6100e-05     3.3300e-06     1.0000e-05     4.8500e-16     1.6167e-16
2             -1             39     3.6100e-05     3.0500e-06     1.0000e-05     1.3100e-14     4.3667e-15
3             -1            171     3.6100e-05     6.8200e-05     2.0000e-05     1.9400e-14     6.4667e-15
4             -1            197     3.6100e-05     2.2100e-05     1.0000e-05     2.1800e-14     7.2667e-15
5             -1            222     3.6100e-05     6.2100e-05     1.0000e-05     5.0400e-14     1.6800e-14
6             -1            226     3.6100e-05     1.6100e-04     1.0000e-05     2.4600e-13     8.2000e-14
7             -1            314     3.6100e-05     4.7900e-05     2.0000e-05     2.7200e-14     9.0667e-15
8             -1            474     3.6100e-05     7.8200e-05     2.0000e-05     3.4900e-14     1.1633e-14
9             -1            538     3.6100e-05     1.0900e-04     1.5400e-05     4.8500e-16     1.6167e-16
10             -1            601     3.6100e-05     6.1900e-05     1.8500e-05     1.4200e-13     4.7333e-14
11             -1            640     3.6100e-05     2.6500e-05     1.0000e-05     4.6600e-14     1.5533e-14
12             -1            696     3.6100e-05     1.0000e-05     1.0000e-05     5.5300e-14     1.8433e-14
13             -1            710     3.6100e-05     4.0300e-05     1.8100e-05     3.9300e-14     1.3100e-14
14             -1            764     3.6100e-05     1.3400e-05     2.0000e-05     2.4300e-14     8.1000e-15
15             -1            807     3.6100e-05     4.9300e-05     2.4300e-05     4.0300e-14     1.3433e-14
16             -1            848     3.6100e-05     1.2400e-05     2.0000e-05     5.0400e-14     1.6800e-14
17             -1            910     3.6100e-05     1.0800e-04     2.4600e-05     2.1300e-14     7.1000e-15
18             -1            911     3.6100e-05     1.2200e-05     1.0000e-05     3.8300e-14     1.2767e-14
19             -1            953     3.6100e-05     1.0000e-05     1.0000e-05     3.3000e-14     1.1000e-14
20             -1           1149     3.6100e-05     1.2200e-04     1.0000e-05     2.4700e-14     8.2333e-15
21             -1           1173     3.6100e-05     9.8700e-05     1.0000e-05     1.8400e-14     6.1333e-15
22             -1           1223     3.6100e-05     4.4900e-05     1.0000e-05     6.3500e-14     2.1167e-14
23             -1           1300     3.6100e-05     6.8900e-05     2.0000e-05     4.8500e-16     1.6167e-16
24              3              0     1.0000e-05     3.6100e-05     2.0000e-05     4.8500e-16     1.6167e-16
