2503
1             -1             38     9.1000e-07     7.9500e-02     3.0000e-05
2             -1             39     9.1200e-07     3.5700e-02     1.2800e-04
3             -1            171     1.7500e-06     1.8300e-02     6.4000e-05
4             -1            197     2.4100e-06     1.8600e-02     1.4400e-04
5             -1            222     1.8100e-06     6.2500e-02     1.7200e-04
6             -1            226     2.3600e-06     2.2700e-02     2.7100e-04
7             -1            314     2.2300e-06     4.3000e-02     1.0100e-04
8             -1            474     2.8400e-06     3.4400e-02     6.4000e-05
9             -1            538     1.3600e-06     7.9500e-02     1.2500e-04
10             -1            601     2.1200e-06     3.4800e-02     8.0600e-05
11             -1            640     1.9500e-06     3.1300e-02     1.8000e-04
12             -1            696     1.7800e-06     2.5500e-02     5.8300e-05
13             -1            710     2.1900e-06     2.8800e-02     4.3600e-05
14             -1            764     1.7100e-06     3.9000e-02     7.0700e-05
15             -1            807     1.9500e-06     6.2500e-02     8.8500e-05
16             -1            848     2.3400e-06     2.6100e-02     6.4000e-05
17             -1            910     1.7400e-06     2.5600e-02     5.7400e-05
18             -1            911     1.6600e-06     3.0400e-02     1.5700e-04
19             -1            953     9.0600e-07     4.8100e-02     9.4900e-05
20             -1           1149     9.5800e-07     4.8100e-02     1.2200e-04
21             -1           1173     2.8300e-06     3.1300e-02     1.3600e-04
22             -1           1223     1.7500e-06     1.0300e-02     9.8500e-05
23             -1           1300     1.8100e-06     7.9500e-02     9.4300e-05
24              3              0     1.0200e-06     7.9500e-02     7.3500e-05
25             50              0     1.7800e-06     4.3900e-02     5.8300e-05
26             52              0     1.1700e-06     6.2500e-02     2.0100e-04
27            120              0     2.4400e-06     4.8100e-02     1.0100e-04
28            122              0     9.8400e-07     7.9500e-02     8.2500e-05
29            159              0     1.6800e-06     6.2500e-02     1.0600e-04
30            180              0     1.1600e-06     3.6200e-02     1.3300e-04
31            227              0     1.8100e-06     4.8100e-02     1.2100e-04
32            368              0     2.3300e-06     3.8400e-02     1.5300e-04
33            396              0     1.6200e-06     4.8100e-02     8.3100e-05
34            469              0     2.0400e-06     1.8800e-02     1.0700e-04
35            470              0     1.8700e-06     6.2500e-02     1.3200e-04
36            556              0     1.4500e-06     2.3900e-02     6.9300e-05
37            566              0     1.7800e-06     3.1300e-02     1.5800e-04
38            626              0     1.4900e-06     3.1300e-02     1.4500e-04
39            651              0     1.7200e-06     1.8100e-02     1.0800e-04
40            652              0     2.2400e-06     3.0500e-02     1.6400e-04
41            677              0     1.7800e-06     6.2500e-02     6.3200e-05
42            712              0     1.0800e-06     4.1300e-02     1.3700e-04
43            718              0     1.5800e-06     6.2500e-02     8.2500e-05
44            730              0     1.7600e-06     3.3200e-02     1.8100e-04
45            744              0     2.8200e-06     2.6000e-02     1.0300e-04
46            913              0     2.0700e-06     4.6200e-02     4.5800e-05
47            969              0     1.0300e-06     3.0800e-02     1.3600e-04
48            971              0     1.7500e-06     7.9500e-02     1.3200e-04
49           1032              0     1.7300e-06     2.2600e-02     1.5200e-04
50           1210              0     2.0100e-06     3.5300e-02     1.0000e-04
51           1226              0     1.4700e-06     6.2500e-02     1.0000e-04
52           1228              0     2.3700e-06     3.4300e-02     1.1200e-04
53           1230              0     2.6600e-06     3.7700e-02     2.8300e-05
54           1256              0     1.7900e-06     3.3700e-02     1.0400e-04
55           1299              0     1.8400e-06     3.6000e-02     5.9200e-05
56           1313              0     2.5500e-06     6.2500e-02     9.4300e-05
57              1            417     2.0900e-06     1.6800e-02     1.5500e-04
58              1            431     1.7500e-06     2.3400e-02     1.0000e-04
59              1            364     2.2200e-06     6.2500e-02     5.7400e-05
60              2            746     1.0700e-06     6.2500e-02     1.1700e-04
61              2            630     1.0600e-06     3.1300e-02     1.0800e-04
62              2           1336     1.0600e-06     2.0900e-02     1.3000e-04
63              4            217     1.0300e-06     3.6900e-02     1.4700e-04
64              5            456     1.0400e-06     3.7500e-02     1.9100e-04
65              5            576     1.4400e-06     7.9500e-02     5.0000e-05
66              6            994     1.7800e-06     3.8600e-02     9.2700e-05
67              6            355     1.7700e-06     6.2500e-02     1.1200e-04
68              7           1214     2.8200e-06     4.8100e-02     1.1000e-04
69              7            699     2.4900e-06     6.2500e-02     9.8000e-05
70              8            229     2.4900e-06     2.6700e-02     6.0000e-05
71              8            344     2.6600e-06     4.2900e-02     1.5100e-04
72              8            159     2.6100e-06     4.7500e-02     1.2400e-04
73              8            385     2.3700e-06     4.1700e-02     1.5300e-04
74              8            723     2.7300e-06     4.4600e-02     8.9400e-05
75              8            677     2.6900e-06     3.0200e-02     8.3100e-05
76              8            882     2.8300e-06     4.5400e-02     1.0800e-04
77              8            167     2.7400e-06     3.8100e-02     6.0000e-05
78              9            396     1.6300e-06     6.2500e-02     1.3000e-04
79              9           1199     1.7700e-06     3.1300e-02     1.6100e-04
80             10           1362     1.8000e-06     6.2500e-02     1.6400e-04
81             10            714     1.8100e-06     4.2700e-02     7.2800e-05
82             11            273     1.3200e-06     2.9300e-02     1.5800e-04
83             11            502     9.6200e-07     6.2500e-02     9.4900e-05
84             12            397     1.7700e-06     6.2500e-02     1.8500e-04
85             12           1107     1.7700e-06     3.0100e-02     1.3000e-04
86             13            739     1.3400e-06     6.2500e-02     1.2000e-04
87             13            747     1.0300e-06     2.9200e-02     8.0600e-05
88             13           1145     1.0400e-06     7.9500e-02     6.0800e-05
89             14            446     9.6000e-07     4.4400e-02     1.3900e-04
90             14            303     9.5300e-07     3.5800e-02     1.8400e-04
91             15           1269     1.0500e-06     3.5800e-02     1.0200e-04
92             16           1194     9.6600e-07     6.2500e-02     1.1200e-04
93             16           1073     1.0900e-06     3.5900e-02     7.3500e-05
94             17           1321     1.0200e-06     3.0700e-02     1.7900e-04
95             17           1347     2.2800e-06     3.3400e-02     2.3000e-04
96             17            770     1.3000e-06     7.9500e-02     5.3900e-05
97             17            923     1.3600e-06     6.2500e-02     1.1200e-04
98             17            486     1.3600e-06     1.6900e-02     1.2400e-04
99             17            853     1.9300e-06     6.2500e-02     8.4900e-05
100             17            689     9.4200e-07     6.2500e-02     7.5500e-05
101             18           1326     1.2600e-06     6.2500e-02     1.5000e-04
102             18           1144     9.3300e-07     4.3600e-02     1.1800e-04
103             18             87     1.5200e-06     1.2600e-02     7.5500e-05
104             18            658     1.0700e-06     6.2500e-02     1.4200e-04
105             18            337     1.4000e-06     1.6000e-02     5.1000e-05
106             19            206     1.2100e-06     7.9500e-02     5.1000e-05
107             19            664     9.6500e-07     2.7500e-02     1.2200e-04
108             20            397     9.0500e-07     7.9500e-02     1.1400e-04
109             20            606     1.3600e-06     7.9500e-02     2.0900e-04
110             21            718     1.5900e-06     3.7300e-02     1.1700e-04
111             21            209     1.7700e-06     3.7400e-02     1.0100e-04
112             21           1128     1.7800e-06     6.2500e-02     6.4000e-05
113             21            124     1.0300e-06     6.2500e-02     1.4800e-04
114             21           1235     1.5000e-06     7.9500e-02     8.0600e-05
115             22            357     1.7400e-06     3.0400e-02     1.5200e-04
116             22            327     1.7300e-06     4.5300e-02     9.4900e-05
117             22            670     1.7700e-06     3.1300e-02     5.1000e-05
118             22           1046     1.7400e-06     3.1300e-02     2.4000e-04
119             22           1072     1.0200e-06     2.3400e-02     1.4000e-04
120             23            917     1.7900e-06     3.1300e-02     1.2200e-04
121             23            104     1.7600e-06     6.2500e-02     1.4500e-04
122             23           1010     2.0700e-06     3.4700e-02     5.8300e-05
123             23           1240     1.7800e-06     4.8100e-02     1.3100e-04
124             23           1091     1.8000e-06     3.9000e-02     1.8100e-04
125             23           1144     1.7100e-06     3.5500e-02     1.5400e-04
126             23            968     2.0700e-06     3.4800e-02     1.3600e-04
127             24           1044     2.1200e-06     4.0600e-02     1.2400e-04
128             24            649     2.1800e-06     3.1300e-02     5.6600e-05
129             24           1220     1.7800e-06     2.3700e-02     1.1200e-04
130             24           1177     1.7900e-06     4.7700e-02     4.1200e-05
131             24           1274     1.7600e-06     2.1400e-02     1.6400e-04
132             25            251     1.2900e-06     4.8100e-02     1.3000e-04
133             25             90     1.0300e-06     2.2400e-02     1.5400e-04
134             26            376     2.1900e-06     4.4700e-02     1.8000e-04
135             26           1265     1.7300e-06     4.0200e-02     1.3200e-04
136             26            894     1.7300e-06     3.7900e-02     3.7400e-05
137             27            486     1.4900e-06     6.2500e-02     8.6000e-05
138             28            891     1.7500e-06     4.1700e-02     2.1300e-04
139             28            519     1.7000e-06     3.1300e-02     1.0000e-04
140             29           1332     1.6600e-06     6.2500e-02     1.0800e-04
141             30            384     1.7700e-06     1.6500e-02     1.0600e-04
142             30             88     9.1800e-07     8.6300e-03     1.1600e-04
143             31            472     2.3800e-06     4.2800e-02     1.6200e-04
144             31            184     1.0000e-06     4.8100e-02     1.6300e-04
145             32            694     1.7500e-06     4.8100e-02     7.3500e-05
146             32            916     2.7700e-06     1.1600e-02     6.1600e-05
147             33            247     1.7500e-06     2.4600e-02     1.9500e-04
148             34            651     1.8000e-06     6.2500e-02     1.6100e-04
149             34            385     1.7200e-06     7.9500e-02     1.4800e-04
150             34            937     2.1700e-06     4.0400e-02     1.6300e-04
151             34            160     1.8000e-06     4.8100e-02     1.2000e-04
152             34            636     1.7400e-06     1.5200e-02     9.0000e-05
153             35            239     1.3000e-06     6.2500e-02     9.8500e-05
154             36            509     1.4000e-06     6.2500e-02     1.3600e-04
155             37            413     1.3500e-06     6.2500e-02     1.2600e-04
156             38           1234     1.2000e-06     2.5500e-02     7.0700e-05
157             38            169     1.4000e-06     2.6400e-02     5.1000e-05
158             39            711     9.5900e-07     6.2500e-02     8.0000e-05
159             40            737     1.7500e-06     4.8100e-02     1.4500e-04
160             40           1237     1.1700e-06     3.1300e-02     1.4400e-04
161             40            511     2.0800e-06     4.8100e-02     1.2800e-04
162             41           1336     1.7200e-06     3.1300e-02     2.4400e-04
163             42            732     1.1200e-06     6.2500e-02     1.2000e-04
164             42           1093     1.2300e-06     6.2500e-02     1.2000e-04
165             43           1155     9.3600e-07     4.8100e-02     9.9000e-05
166             43            140     1.0400e-06     3.1300e-02     2.4200e-04
167             43            583     1.2800e-06     6.2500e-02     1.0000e-04
168             43            462     1.3000e-06     7.9500e-02     5.8300e-05
169             44            943     1.7000e-06     3.1300e-02     4.5800e-05
170             44            900     1.2200e-06     3.9000e-02     6.4000e-05
171             45           1314     1.2800e-06     6.2500e-02     5.3900e-05
172             45            445     1.1700e-06     6.2500e-02     9.5400e-05
173             46            911     1.2800e-06     1.6200e-02     7.2800e-05
174             46            477     1.0800e-06     1.9700e-02     7.8100e-05
175             47           1121     2.4300e-06     7.9500e-02     2.4200e-04
176             48            983     9.0400e-07     1.6400e-02     6.4800e-05
177             48            796     1.0600e-06     4.8100e-02     1.9000e-04
178             49            194     1.7400e-06     6.2500e-02     6.0800e-05
179             49            400     1.5100e-06     6.2500e-02     1.0600e-04
180             49           1267     1.7400e-06     1.8700e-02     1.2100e-04
181             49            255     1.7800e-06     4.8100e-02     1.7000e-04
182             50            947     1.6900e-06     6.2500e-02     7.0700e-05
183             51            605     1.3800e-06     6.2500e-02     9.2200e-05
184             51            276     1.1300e-06     2.5700e-02     1.3400e-04
185             51            447     1.1200e-06     6.2500e-02     1.4300e-04
186             52            225     1.7900e-06     3.5800e-02     1.4800e-04
187             52            913     1.7300e-06     4.8100e-02     1.1200e-04
188             53            103     2.1100e-06     3.4700e-02     1.2900e-04
189             53            495     2.4700e-06     3.1300e-02     7.8100e-05
190             54            226     2.1800e-06     1.6700e-02     1.6100e-04
191             54            222     1.8800e-06     3.8800e-02     1.2600e-04
192             54           1149     1.4800e-06     2.8000e-02     7.8700e-05
193             55             74     1.7200e-06     3.2200e-02     9.8500e-05
194             56           1115     1.7300e-06     4.8100e-02     7.3500e-05
195             57            440     1.4400e-06     3.1300e-02     8.6000e-05
196             57            424     1.5100e-06     7.9500e-02     5.3900e-05
197             57           1177     1.4600e-06     6.2500e-02     9.9500e-05
198             58           1306     1.8100e-06     2.1500e-02     1.0000e-04
199             59            448     1.5900e-06     6.2500e-02     6.4000e-05
200             59            514     1.4300e-06     6.2500e-02     2.1100e-04
201             59            945     2.0600e-06     3.6300e-02     1.7200e-04
202             59            820     1.0800e-06     2.6400e-02     1.0700e-04
203             60            920     1.4300e-06     3.1300e-02     6.0800e-05
204             60           1047     1.8300e-06     3.1300e-02     4.5800e-05
